job_role,company_name,company_type,knowledge,skills,knowledge_cleaned,skills_cleaned,combined_features
"ASIC Engineer, Design Verification",Meta,MAANG/FAAMG,"SystemVerilog/UVM methodology, C/C++ based verification, IP/sub-system and/or SoC level verification, SV Assertions, Formal, Emulation, verification environments for ARM/RISC-V based sub-systems or SoCs, Design verification of Data-center applications like Video, AI/ML, and Networking designs, verification of high-speed interfaces like PCIe, DDR, Ethernet.","Track record of 'first-pass success' in ASIC development cycles, experience in architecting and implementing Design Verification infrastructure, experience with functional verification, experience with EDA tools and scripting (Python, TCL, Perl, Shell), experience with revision control systems like Mercurial, Git, or SVN, experience working across and building relationships with cross-functional design, model, and emulation teams.",systemveriloguvm methodology cc based verification ipsubsystem andor soc level verification sv assertions formal emulation verification environments armriscv based subsystems socs design verification datacenter applications like video aiml networking designs verification highspeed interfaces like pcie ddr ethernet,track record firstpass success asic development cycles experience architecting implementing design verification infrastructure experience functional verification experience eda tools scripting python tcl perl shell experience revision control systems like mercurial git svn experience working across building relationships crossfunctional design model emulation teams,"ASIC Engineer, Design Verification MAANG/FAAMG systemveriloguvm methodology cc based verification ipsubsystem andor soc level verification sv assertions formal emulation verification environments armriscv based subsystems socs design verification datacenter applications like video aiml networking designs verification highspeed interfaces like pcie ddr ethernet track record firstpass success asic development cycles experience architecting implementing design verification infrastructure experience functional verification experience eda tools scripting python tcl perl shell experience revision control systems like mercurial git svn experience working across building relationships crossfunctional design model emulation teams"
ASIC Engineer - Infra Specialist,Meta,MAANG/FAAMG,"Embedded system development, programming in C for development, debugging, testing, and performance analysis, BootROM, bootloaders, and secure boot development, platform firmware development for complex SoCs, working with embedded hardware platforms, RTOS (preferably Zephyr), embedded Linux, peripheral drivers like PCIe, UART, I2C, SPI, SoC block understanding, board bring-up, clock-level issues, interrupts, polling.","Experience in leading complex features or projects across multiple teams, experience in Python or other scripting languages for tooling and test automation, experience with lab instrumentation such as oscilloscopes and logic/protocol analyzers, experience delivering end-to-end product solutions.",embedded system development programming c development debugging testing performance analysis bootrom bootloaders secure boot development platform firmware development complex socs working embedded hardware platforms rtos preferably zephyr embedded linux peripheral drivers like pcie uart i2c spi soc block understanding board bringup clocklevel issues interrupts polling,experience leading complex features projects across multiple teams experience python scripting languages tooling test automation experience lab instrumentation oscilloscopes logicprotocol analyzers experience delivering endtoend product solutions,ASIC Engineer - Infra Specialist MAANG/FAAMG embedded system development programming c development debugging testing performance analysis bootrom bootloaders secure boot development platform firmware development complex socs working embedded hardware platforms rtos preferably zephyr embedded linux peripheral drivers like pcie uart i2c spi soc block understanding board bringup clocklevel issues interrupts polling experience leading complex features projects across multiple teams experience python scripting languages tooling test automation experience lab instrumentation oscilloscopes logicprotocol analyzers experience delivering endtoend product solutions
"Software Engineer, Payments",Google,MAANG/FAAMG,"Programming languages such as Python, C, C++, Java, or JavaScript.","Software development experience, experience developing accessible technologies.",programming languages python c c java javascript,software development experience experience developing accessible technologies,"Software Engineer, Payments MAANG/FAAMG programming languages python c c java javascript software development experience experience developing accessible technologies"
"Software Engineer, YouTube",Google,MAANG/FAAMG,"Programming languages such as Python, C, C++, Java, JavaScript.","Software development experience, experience developing accessible technologies.",programming languages python c c java javascript,software development experience experience developing accessible technologies,"Software Engineer, YouTube MAANG/FAAMG programming languages python c c java javascript software development experience experience developing accessible technologies"
"Engineering Manager, Creator Support, YouTube",Google,MAANG/FAAMG,"Machine Learning, Generative AI, chatbots, programming languages such as Python, C, C++, Java, JavaScript.","Experience managing teams of Software Engineers, experience in people management, supervision, and team leadership, experience overseeing projects in a technical leadership role, experience in the support domain.",machine learning generative ai chatbots programming languages python c c java javascript,experience managing teams software engineers experience people management supervision team leadership experience overseeing projects technical leadership role experience support domain,"Engineering Manager, Creator Support, YouTube MAANG/FAAMG machine learning generative ai chatbots programming languages python c c java javascript experience managing teams software engineers experience people management supervision team leadership experience overseeing projects technical leadership role experience support domain"
Production Support Specialist - APAC,Netflix,MAANG/FAAMG,"JSON, XML, CSV, MHL and other commonly used data formats, Windows, Mac, and Linux operating systems, storage infrastructure in production and post-production, local drives, facility storage array networks, cloud storage, Avid Media Composer, Adobe Premiere, Colorfront OSD & Transkoder, Aspera, industry standards like ALE, EDL, MHL/ASC-MHL, FDL, technology solutions, equipment, and service vendors in production and post-production.","Post-production support, facility and process management, content creation processes, on-set production, proficiency in speaking and writing in English, ability to communicate in local languages such as Hindi, working with media asset management and workflow automation systems, dailies processing, editorial, VFX pulls, conform/online to final delivery, familiarity with production and post-production software, understanding of industry standards, building relationships with technology solutions, equipment, and service vendors, strong understanding of production and post-production software usage.",json xml csv mhl commonly used data formats windows mac linux operating systems storage infrastructure production postproduction local drives facility storage array networks cloud storage avid media composer adobe premiere colorfront osd transkoder aspera industry standards like ale edl mhlascmhl fdl technology solutions equipment service vendors production postproduction,postproduction support facility process management content creation processes onset production proficiency speaking writing english ability communicate local languages hindi working media asset management workflow automation systems dailies processing editorial vfx pulls conformonline final delivery familiarity production postproduction software understanding industry standards building relationships technology solutions equipment service vendors strong understanding production postproduction software usage,Production Support Specialist - APAC MAANG/FAAMG json xml csv mhl commonly used data formats windows mac linux operating systems storage infrastructure production postproduction local drives facility storage array networks cloud storage avid media composer adobe premiere colorfront osd transkoder aspera industry standards like ale edl mhlascmhl fdl technology solutions equipment service vendors production postproduction postproduction support facility process management content creation processes onset production proficiency speaking writing english ability communicate local languages hindi working media asset management workflow automation systems dailies processing editorial vfx pulls conformonline final delivery familiarity production postproduction software understanding industry standards building relationships technology solutions equipment service vendors strong understanding production postproduction software usage
C++ Developer,Adobe,GCC,"C++, threading skills, Windows platform, architectural patterns.","Excellent communication skills, ability to collaborate across teams, practice with product development and release methodologies such as Agile, Lean, and Scrum.",c threading skills windows platform architectural patterns,excellent communication skills ability collaborate across teams practice product development release methodologies agile lean scrum,C++ Developer GCC c threading skills windows platform architectural patterns excellent communication skills ability collaborate across teams practice product development release methodologies agile lean scrum
Computer Scientist (C++ Developer),Adobe,GCC,"Full stack software development, Backend technologies like C++, Node JS, REST API, Java, Frontend technologies like React JS, Redux, TypeScript, JavaScript, React Spectrum, DevOps technologies like AWS, Azure, Kubernetes, Docker, designing and developing complex, large-scale microservices and RESTful APIs for real-time responsive applications, proficiency in data structures and algorithms, experience with machine learning and deep learning.","Strong verbal and written communication skills, strong technical leadership skills, high-quality coding and design competencies, cost consciousness around computation and memory requirements.",full stack software development backend technologies like c node js rest api java frontend technologies like react js redux typescript javascript react spectrum devops technologies like aws azure kubernetes docker designing developing complex largescale microservices restful apis realtime responsive applications proficiency data structures algorithms experience machine learning deep learning,strong verbal written communication skills strong technical leadership skills highquality coding design competencies cost consciousness around computation memory requirements,Computer Scientist (C++ Developer) GCC full stack software development backend technologies like c node js rest api java frontend technologies like react js redux typescript javascript react spectrum devops technologies like aws azure kubernetes docker designing developing complex largescale microservices restful apis realtime responsive applications proficiency data structures algorithms experience machine learning deep learning strong verbal written communication skills strong technical leadership skills highquality coding design competencies cost consciousness around computation memory requirements
Software Development Engineer,Adobe,GCC,"Cloud platforms such as Azure, AWS, or GCP, programming languages like Python, technologies such as MongoDB, Redis, HashiCorp tools (Vault, Terraform, Nomad, Consul), monitoring tools like Grafana, Prometheus, NewRelic, and Splunk.","Operating cloud products, Infrastructure as Code, Git & CI/CD pipeline setup, operating Kubernetes at scale, familiarity with monitoring and alerting systems, familiarity with Aerospike, MongoDB, and Grafana tools.",cloud platforms azure aws gcp programming languages like python technologies mongodb redis hashicorp tools vault terraform nomad consul monitoring tools like grafana prometheus newrelic splunk,operating cloud products infrastructure code git cicd pipeline setup operating kubernetes scale familiarity monitoring alerting systems familiarity aerospike mongodb grafana tools,Software Development Engineer GCC cloud platforms azure aws gcp programming languages like python technologies mongodb redis hashicorp tools vault terraform nomad consul monitoring tools like grafana prometheus newrelic splunk operating cloud products infrastructure code git cicd pipeline setup operating kubernetes scale familiarity monitoring alerting systems familiarity aerospike mongodb grafana tools
Software Engineer,Oracle,GCC,"Development engineering, building products, Android, Cordova, Java, Objective-C, React Native, Swift, iOS, Object-Oriented technologies, Java, Android, iOS technologies.","Great written communication and documentation abilities, hands-on experience with HTML5, CSS, XML, API technologies, ability to participate in design and code reviews and provide feedback.",development engineering building products android cordova java objectivec react native swift ios objectoriented technologies java android ios technologies,great written communication documentation abilities handson experience html5 css xml api technologies ability participate design code reviews provide feedback,Software Engineer GCC development engineering building products android cordova java objectivec react native swift ios objectoriented technologies java android ios technologies great written communication documentation abilities handson experience html5 css xml api technologies ability participate design code reviews provide feedback
Principal Software Engineer / Developer 4,Oracle,GCC,"High-performing, scalable, and fault-tolerant web applications, full-stack development, flexible UI SDKs, legacy code refactoring, system and feature architecture, algorithms, cloud application development, distributed systems, Java, Kubernetes, microservices architecture, MySQL, OCI, SQL, software engineering, unit testing.","High-performing, scalable, and fault-tolerant web applications, full-stack development, flexible UI SDKs, legacy code refactoring, system and feature architecture, algorithms, cloud application development, distributed systems, Java, Kubernetes, microservices architecture, MySQL, OCI, SQL, software engineering, unit testing.",highperforming scalable faulttolerant web applications fullstack development flexible ui sdks legacy code refactoring system feature architecture algorithms cloud application development distributed systems java kubernetes microservices architecture mysql oci sql software engineering unit testing,highperforming scalable faulttolerant web applications fullstack development flexible ui sdks legacy code refactoring system feature architecture algorithms cloud application development distributed systems java kubernetes microservices architecture mysql oci sql software engineering unit testing,Principal Software Engineer / Developer 4 GCC highperforming scalable faulttolerant web applications fullstack development flexible ui sdks legacy code refactoring system feature architecture algorithms cloud application development distributed systems java kubernetes microservices architecture mysql oci sql software engineering unit testing highperforming scalable faulttolerant web applications fullstack development flexible ui sdks legacy code refactoring system feature architecture algorithms cloud application development distributed systems java kubernetes microservices architecture mysql oci sql software engineering unit testing
Software Engineer,Oracle,GCC,"Automated testing approaches, test automation for different aspects of applications, translating user requirements into technical solutions, executing and maintaining automated tests, quality standards, control methods, and theories for manufacturing, testing, and inspection, analyzing code coverage reports, implementing tests for untested areas, developing automated tests for new features.","Troubleshooting and debugging software programs, creating prototypes, writing unit test scripts, deploying solutions to different environments, taking ownership of customer-reported issues, root cause analysis and problem resolution, mentoring new team members, handling sprint and release commitments, impediment resolution, handling escalations, providing support to new team members, focusing on quality and application performance, following SCRUM framework and methodology.",automated testing approaches test automation different aspects applications translating user requirements technical solutions executing maintaining automated tests quality standards control methods theories manufacturing testing inspection analyzing code coverage reports implementing tests untested areas developing automated tests new features,troubleshooting debugging software programs creating prototypes writing unit test scripts deploying solutions different environments taking ownership customerreported issues root cause analysis problem resolution mentoring new team members handling sprint release commitments impediment resolution handling escalations providing support new team members focusing quality application performance following scrum framework methodology,Software Engineer GCC automated testing approaches test automation different aspects applications translating user requirements technical solutions executing maintaining automated tests quality standards control methods theories manufacturing testing inspection analyzing code coverage reports implementing tests untested areas developing automated tests new features troubleshooting debugging software programs creating prototypes writing unit test scripts deploying solutions different environments taking ownership customerreported issues root cause analysis problem resolution mentoring new team members handling sprint release commitments impediment resolution handling escalations providing support new team members focusing quality application performance following scrum framework methodology
System Software Quality Engineer,Intel,GCC,"Software quality engineering methods, software development life cycle (SDLC), programming/scripting languages, automation tools and frameworks, AI-driven automation, data visualization techniques.","Software development, validation, and quality assurance, data analysis, metrics creation, data visualization tools (e.g., PowerBI), Robotic Process Automation (RPA), AI agents for automation, back-end database connections, software product delivery, team collaboration, and support for software development practices.",software quality engineering methods software development life cycle sdlc programmingscripting languages automation tools frameworks aidriven automation data visualization techniques,software development validation quality assurance data analysis metrics creation data visualization tools eg powerbi robotic process automation rpa ai agents automation backend database connections software product delivery team collaboration support software development practices,System Software Quality Engineer GCC software quality engineering methods software development life cycle sdlc programmingscripting languages automation tools frameworks aidriven automation data visualization techniques software development validation quality assurance data analysis metrics creation data visualization tools eg powerbi robotic process automation rpa ai agents automation backend database connections software product delivery team collaboration support software development practices
Software Research Engineer/Scientist,Intel,GCC,"Web development best practices, web service architectures, web security principles, automated testing methodologies, front-end development workflows, design and UI frameworks, data structures, programming languages, software engineering principles.","UI/UX for web development, scalable web architecture, web services, web security, automated testing frameworks (e.g., Cypress), CSS, design frameworks (e.g., Bootstrap), data structure libraries (e.g., Immutable.js), React, Redux, JavaScript, Emscripten.",web development best practices web service architectures web security principles automated testing methodologies frontend development workflows design ui frameworks data structures programming languages software engineering principles,uiux web development scalable web architecture web services web security automated testing frameworks eg cypress css design frameworks eg bootstrap data structure libraries eg immutablejs react redux javascript emscripten,Software Research Engineer/Scientist GCC web development best practices web service architectures web security principles automated testing methodologies frontend development workflows design ui frameworks data structures programming languages software engineering principles uiux web development scalable web architecture web services web security automated testing frameworks eg cypress css design frameworks eg bootstrap data structure libraries eg immutablejs react redux javascript emscripten
"AI Software Solutions Engineer (AI Frameworks, Workloads)",Intel,GCC,"Programming languages: Advanced C++, Python, parallel programming, machine learning system optimization and deployment techniques (e.g., quantization), inference serving solutions, compiler algorithms for heterogeneous systems, open-source compiler infrastructure (e.g., LLVM, GCC), low-level kernels.","Inference frameworks/tools for deep learning models, architecture/design contributions to inference systems, optimization techniques for large language models (LLMs), transformers and inference-specific optimizations, debugging complex issues in multi-layered software systems, software integration across open-source frameworks and internal layers, computer architecture.",programming languages advanced c python parallel programming machine learning system optimization deployment techniques eg quantization inference serving solutions compiler algorithms heterogeneous systems opensource compiler infrastructure eg llvm gcc lowlevel kernels,inference frameworkstools deep learning models architecturedesign contributions inference systems optimization techniques large language models llms transformers inferencespecific optimizations debugging complex issues multilayered software systems software integration across opensource frameworks internal layers computer architecture,"AI Software Solutions Engineer (AI Frameworks, Workloads) GCC programming languages advanced c python parallel programming machine learning system optimization deployment techniques eg quantization inference serving solutions compiler algorithms heterogeneous systems opensource compiler infrastructure eg llvm gcc lowlevel kernels inference frameworkstools deep learning models architecturedesign contributions inference systems optimization techniques large language models llms transformers inferencespecific optimizations debugging complex issues multilayered software systems software integration across opensource frameworks internal layers computer architecture"
Software Engineer,Cisco,GCC,"Networking technologies (SR, SRv6, EVPN, MPLS, VXLAN, L2/L3 protocols), C, C++, Python, software engineering practices, Linux kernel architecture, open-source technologies","Technical leadership in networking, routing and switching technologies, SR, SRv6, EVPN, MPLS, VXLAN, L2/L3 protocols, architecting and designing complex networking systems, software engineering principles, Linux, kernel programming, open source technologies.",networking technologies sr srv6 evpn mpls vxlan l2l3 protocols c c python software engineering practices linux kernel architecture opensource technologies,technical leadership networking routing switching technologies sr srv6 evpn mpls vxlan l2l3 protocols architecting designing complex networking systems software engineering principles linux kernel programming open source technologies,Software Engineer GCC networking technologies sr srv6 evpn mpls vxlan l2l3 protocols c c python software engineering practices linux kernel architecture opensource technologies technical leadership networking routing switching technologies sr srv6 evpn mpls vxlan l2l3 protocols architecting designing complex networking systems software engineering principles linux kernel programming open source technologies
Software QA Technical Leader,Cisco,GCC,"Layer-2 switching (802.1Q, xSTP, LAG, ARP), Layer-3 routing (BGP, IP, OSPF, VPN, IPSec, NAT, DHCP), networking technologies (LANs, routing, switching, wireless), network security features (Cisco TrustSec, Access-List), OS fundamentals (kernel and user space), networking protocols, cloud-based services, Agile principles.","Python proficiency, including building tools or framework modules, technical leadership in software engineering, traffic generation using IXIA for automated testing, concurrent programming, Linux environment development and troubleshooting, system design, solution building, performance testing, customer network deployment, network design, cloud infrastructure, network security, version control (Git), Yocto, Agile methodology.",layer2 switching 8021q xstp lag arp layer3 routing bgp ip ospf vpn ipsec nat dhcp networking technologies lans routing switching wireless network security features cisco trustsec accesslist os fundamentals kernel user space networking protocols cloudbased services agile principles,python proficiency including building tools framework modules technical leadership software engineering traffic generation using ixia automated testing concurrent programming linux environment development troubleshooting system design solution building performance testing customer network deployment network design cloud infrastructure network security version control git yocto agile methodology,Software QA Technical Leader GCC layer2 switching 8021q xstp lag arp layer3 routing bgp ip ospf vpn ipsec nat dhcp networking technologies lans routing switching wireless network security features cisco trustsec accesslist os fundamentals kernel user space networking protocols cloudbased services agile principles python proficiency including building tools framework modules technical leadership software engineering traffic generation using ixia automated testing concurrent programming linux environment development troubleshooting system design solution building performance testing customer network deployment network design cloud infrastructure network security version control git yocto agile methodology
